resp_ID,t_start,t_end,Status,p_ID,unique_qu_ID,erase,condition,exposure,room,view_access,exp_duration_original,exp_duration,light_level_sensation,visual_comfort,glare_Osterhaus,glare_binary,glare_branch_accept,glare_likert4,glare_reflection_screen_likert4,glare_agreement5,colors_outside_agreement5,view_satisfaction_interval10__5only,work_all_day_changes__30only,work_all_day_changes_WHAT,work_all_day_changes_WHY
136,17.06.21 17:34,17.06.21 17:37,Complete,331,331_G3_2_Clear_q1,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Uncomfortable,Noticeable,No,NA,Slightly,Not at all,Disagree,Strongly agree,5,NA,NA,NA
138,17.06.21 17:55,17.06.21 18:03,Complete,331,331_G3_2_Clear_q2,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,High,Uncomfortable,Disturbing,Yes,Just unacceptable,Moderately,Not at all,Strongly disagree,Strongly agree,NA,"Yes, I would like the following changes:",put stores on the window,The sunlight and the view make it difficult to concentrate.
133,17.06.21 16:50,17.06.21 16:57,Complete,332,332_G3_1_Clear_q1,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Uncomfortable,Noticeable,Yes,Just acceptable,Slightly,Not at all,Disagree,Disagree,6,NA,NA,NA
135,17.06.21 17:17,17.06.21 17:27,Complete,332,332_G3_1_Clear_q2,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,High,Uncomfortable,Disturbing,Yes,Unacceptable,Moderately,Not at all,Neither agree nor disagree,Disagree,NA,"Yes, I would like the following changes:",less sun light coming from the window,the light coming directly on my eyes is bothering me slightly.
137,17.06.21 17:36,17.06.21 17:39,Complete,332,332_G3_2_Blurr_q1,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly high,Uncomfortable,Imperceptible,No,NA,Slightly,Not at all,Neither agree nor disagree,Disagree,2,NA,NA,NA
139,17.06.21 17:57,17.06.21 18:03,Complete,332,332_G3_2_Blurr_q2,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly high,Uncomfortable,Disturbing,Yes,Just unacceptable,Slightly,Not at all,Disagree,Disagree,NA,I have no preference,NA,NA
140,22.06.21 16:54,22.06.21 16:58,Complete,333,333_G3_1_Blurr_q1,keep,G3,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly high,Uncomfortable,Intolerable,Yes,Unacceptable,Very much,Moderately,Strongly disagree,Disagree,3,NA,NA,NA
142,22.06.21 17:19,22.06.21 17:29,Complete,333,333_G3_1_Blurr_q2,keep,G3,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly high,Comfortable,Noticeable,Yes,Just acceptable,Slightly,Not at all,Agree,Agree,NA,"Yes, I would like the following changes:",direct sunlight,"Decrease the direct sunlight, with a more oculting window, or shutters"
144,22.06.21 17:41,22.06.21 17:45,Complete,333,333_G3_2_Clear_q1,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Comfortable,Noticeable,Yes,Just acceptable,Slightly,Not at all,Agree,Agree,10,NA,NA,NA
146,22.06.21 18:01,22.06.21 18:10,Complete,333,333_G3_2_Clear_q2,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Very comfortable,Imperceptible,No,NA,Not at all,Not at all,Strongly agree,Strongly agree,NA,"Yes, I would like the following changes:",sunlight,"When the sun was shining, it was too bright for me. I would occult it even more. The outdoor view is much more pleasant when seeing the bottom of the window (compared to other room)"
