"session_number","condition","exposure_nr","siblings","Dev<25","qu_usable","qu1_qu2","qu_nr","unique_qu_ID"
103,"G1","352_G1_1_Clear","771","yes","yes",1,1,"352_G1_1_Clear_q1"
104,"G1","352_G1_2_Blurr","772","yes","yes",1,1,"352_G1_2_Blurr_q1"
105,"G1","353_G1_1_Clear","781","yes","yes",1,1,"353_G1_1_Clear_q1"
106,"G1","353_G1_2_Blurr","782","yes","yes",1,1,"353_G1_2_Blurr_q1"
107,"G1","354_G1_1_Blurr","781","yes","yes",1,1,"354_G1_1_Blurr_q1"
108,"G1","354_G1_2_Clear","782","yes","yes",1,1,"354_G1_2_Clear_q1"
109,"G1","355_G1_1_Blurr","791","yes","yes",1,1,"355_G1_1_Blurr_q1"
110,"G1","355_G1_2_Clear","792","yes","yes",1,1,"355_G1_2_Clear_q1"
111,"G1","356_G1_1_Clear","791","yes","yes",1,1,"356_G1_1_Clear_q1"
112,"G1","356_G1_2_Blurr","792","yes","yes",1,1,"356_G1_2_Blurr_q1"
113,"G3","357_G3_1_Clear","801","yes","yes",1,1,"357_G3_1_Clear_q1"
114,"G3","357_G3_2_Blurr","802","no","no",1,1,"357_G3_2_Blurr_q1"
115,"G3","358_G3_1_Blurr","801","yes","yes",1,1,"358_G3_1_Blurr_q1"
116,"G3","358_G3_2_Clear","802","no","no",1,1,"358_G3_2_Clear_q1"
117,"NG","359_NG_1_Clear","831","no","no",1,1,"359_NG_1_Clear_q1"
118,"NG","359_NG_2_Blurr","832","no","no",1,1,"359_NG_2_Blurr_q1"
119,"NG","360_NG_1_Blurr","831","no","no",1,1,"360_NG_1_Blurr_q1"
120,"NG","360_NG_2_Clear","832","no","no",1,1,"360_NG_2_Clear_q1"
121,"G3","361_G3_1_Clear","851","no","no",1,1,"361_G3_1_Clear_q1"
122,"G3","361_G3_2_Blurr","852","yes","yes",1,1,"361_G3_2_Blurr_q1"
123,"G3","362_G3_1_Blurr","851","no","no",1,1,"362_G3_1_Blurr_q1"
124,"G3","362_G3_2_Clear","852","yes","yes",1,1,"362_G3_2_Clear_q1"
125,"G3","363_G3_1_Blurr","861","yes","yes",1,1,"363_G3_1_Blurr_q1"
126,"G3","363_G3_2_Clear","862","yes","yes",1,1,"363_G3_2_Clear_q1"
127,"G3","364_G3_1_Clear","861","yes","yes",1,1,"364_G3_1_Clear_q1"
NA,NA,NA,NA,NA,NA,1,1,"NA_q1"
1,"NG","301_NG_1_Clear","131","no","no",2,2,"301_NG_1_Clear_q2"
2,"NG","301_NG_2_Blurr","132","no","no",2,2,"301_NG_2_Blurr_q2"
3,"NG","302_NG_1_Blurr","131","yes","yes",2,2,"302_NG_1_Blurr_q2"
4,"NG","302_NG_2_Clear","132","no","no",2,2,"302_NG_2_Clear_q2"
5,"NG","303_NG_1_Clear","*not a pair","yes","yes",2,2,"303_NG_1_Clear_q2"
6,"NG","303_NG_2_Blurr","144","no","no",2,2,"303_NG_2_Blurr_q2"
7,"NG","304_NG_1_Clear","144","yes","yes",2,2,"304_NG_1_Clear_q2"
8,"NG","304_NG_2_Blurr","*not a pair","no","no",2,2,"304_NG_2_Blurr_q2"
9,"G3","305_G3_1_Blurr","161","yes","yes",2,2,"305_G3_1_Blurr_q2"
10,"G3","305_G3_2_Clear","162","yes","yes",2,2,"305_G3_2_Clear_q2"
11,"G3","306_G3_1_Clear","161","yes","yes",2,2,"306_G3_1_Clear_q2"
12,"G3","306_G3_2_Blurr","162","yes","yes",2,2,"306_G3_2_Blurr_q2"
13,"NG","307_NG_1_Clear","211","yes","yes",2,2,"307_NG_1_Clear_q2"
14,"NG","307_NG_2_Blurr","212","yes","yes",2,2,"307_NG_2_Blurr_q2"
15,"NG","308_NG_1_Blurr","211","yes","yes",2,2,"308_NG_1_Blurr_q2"
16,"NG","308_NG_2_Clear","212","yes","yes",2,2,"308_NG_2_Clear_q2"
17,"G3","309_G3_1_Clear","211","yes","yes",2,2,"309_G3_1_Clear_q2"
18,"G3","309_G3_2_Blurr","212","yes","yes",2,2,"309_G3_2_Blurr_q2"
19,"G3","310_G3_1_Blurr","211","yes","yes",2,2,"310_G3_1_Blurr_q2"
20,"G3","310_G3_2_Clear","212","yes","yes",2,2,"310_G3_2_Clear_q2"
21,"G3","311_G3_1_Blurr","281","yes","yes",2,2,"311_G3_1_Blurr_q2"
22,"G3","311_G3_2_Clear","282","yes","yes",2,2,"311_G3_2_Clear_q2"
23,"G3","312_G3_1_Clear","281","yes","yes",2,2,"312_G3_1_Clear_q2"
24,"G3","312_G3_2_Blurr","282","yes","yes",2,2,"312_G3_2_Blurr_q2"
25,"NG","313_NG_1_Clear","291","yes","no",2,2,"313_NG_1_Clear_q2"
26,"NG","313_NG_2_Blurr","292","yes","yes",2,2,"313_NG_2_Blurr_q2"
27,"NG","314_NG_1_Blurr","291","yes","no",2,2,"314_NG_1_Blurr_q2"
28,"NG","314_NG_2_Clear","292","yes","no",2,2,"314_NG_2_Clear_q2"
29,"G1","315_G1_1_Clear","301","yes","yes",2,2,"315_G1_1_Clear_q2"
30,"G1","315_G1_2_Blurr","302","yes","yes",2,2,"315_G1_2_Blurr_q2"
31,"G1","316_G1_1_Blurr","301","yes","yes",2,2,"316_G1_1_Blurr_q2"
32,"G1","316_G1_2_Clear","302","yes","yes",2,2,"316_G1_2_Clear_q2"
33,"G1","317_G1_1_Clear","311","no","no",2,2,"317_G1_1_Clear_q2"
34,"G1","317_G1_2_Blurr","312","yes","yes",2,2,"317_G1_2_Blurr_q2"
35,"G1","318_G1_1_Blurr","311","no","no",2,2,"318_G1_1_Blurr_q2"
36,"G1","318_G1_2_Clear","312","no","yes",2,2,"318_G1_2_Clear_q2"
37,"NG","319_NG_1_Clear","361","no","no",2,2,"319_NG_1_Clear_q2"
38,"NG","319_NG_2_Blurr","362","no","no",2,2,"319_NG_2_Blurr_q2"
39,"NG","320_NG_1_Blurr","361","no","no",2,2,"320_NG_1_Blurr_q2"
40,"NG","320_NG_2_Clear","362","no","no",2,2,"320_NG_2_Clear_q2"
41,"G1","321_G1_1_Clear","371","yes","yes",2,2,"321_G1_1_Clear_q2"
42,"G1","321_G1_2_Blurr","372","yes","yes",2,2,"321_G1_2_Blurr_q2"
43,"G1","322_G1_1_Blurr","371","yes","yes",2,2,"322_G1_1_Blurr_q2"
44,"G1","322_G1_2_Clear","372","yes","yes",2,2,"322_G1_2_Clear_q2"
